date,state,sex,ethnicity,age,population
1/1/2020,Negeri Sembilan,female,bumi_malay,60-64,13.4
1/1/2020,Negeri Sembilan,female,bumi_malay,65-69,9.9
1/1/2020,Negeri Sembilan,female,bumi_malay,70-74,5.5
1/1/2020,Negeri Sembilan,female,bumi_malay,75-79,2.5
1/1/2020,Negeri Sembilan,female,bumi_malay,80-84,1.7
1/1/2020,Negeri Sembilan,female,bumi_malay,85+,0.8
1/1/2020,Pahang,male,bumi_malay,15-19,61.1
1/1/2020,Pahang,male,bumi_malay,20-24,44.9
1/1/2020,Pahang,male,bumi_malay,25-29,40.4
1/1/2020,Pahang,male,bumi_malay,30-34,44.3
1/1/2020,Pahang,male,bumi_malay,35-39,48.3
1/1/2020,Pahang,male,bumi_malay,40-44,40.2
1/1/2020,Pahang,male,bumi_malay,45-49,30.8
1/1/2020,Pahang,male,bumi_malay,50-54,24.4
1/1/2020,Pahang,male,bumi_malay,55-59,23.6
1/1/2020,Pahang,male,bumi_malay,60-64,17.4
1/1/2020,Pahang,male,bumi_malay,65-69,14.7
1/1/2020,Pahang,male,bumi_malay,70-74,11.2
1/1/2020,Pahang,male,bumi_malay,75-79,5.3
1/1/2020,Pahang,male,bumi_malay,80-84,3
1/1/2020,Pahang,male,bumi_malay,85+,2.8
1/1/2020,Pahang,female,bumi_malay,15-19,55.7
1/1/2020,Pahang,female,bumi_malay,20-24,42.2
1/1/2020,Pahang,female,bumi_malay,25-29,38.4
1/1/2020,Pahang,female,bumi_malay,30-34,43.9
1/1/2020,Pahang,female,bumi_malay,35-39,45.5
1/1/2020,Pahang,female,bumi_malay,40-44,40.5
1/1/2020,Pahang,female,bumi_malay,45-49,29.9
1/1/2020,Pahang,female,bumi_malay,50-54,24.5
1/1/2020,Pahang,female,bumi_malay,55-59,23.7
1/1/2020,Pahang,female,bumi_malay,60-64,18.3
1/1/2020,Pahang,female,bumi_malay,65-69,15.1
1/1/2020,Pahang,female,bumi_malay,70-74,11.1
1/1/2020,Pahang,female,bumi_malay,75-79,5.4
1/1/2020,Pahang,female,bumi_malay,80-84,3.6
1/1/2020,Pahang,female,bumi_malay,85+,2.6
1/1/2020,Perak,male,bumi_malay,15-19,69.9
1/1/2020,Perak,male,bumi_malay,20-24,64.2
1/1/2020,Perak,male,bumi_malay,25-29,51
1/1/2020,Perak,male,bumi_malay,30-34,51.1
1/1/2020,Perak,male,bumi_malay,35-39,51.8
1/1/2020,Perak,male,bumi_malay,40-44,42.3
1/1/2020,Perak,male,bumi_malay,45-49,31.8
1/1/2020,Perak,male,bumi_malay,50-54,30.8
1/1/2020,Perak,male,bumi_malay,55-59,33.1
1/1/2020,Perak,male,bumi_malay,60-64,25.9
1/1/2020,Perak,male,bumi_malay,65-69,19.3
1/1/2020,Perak,male,bumi_malay,70-74,12
1/1/2020,Perak,male,bumi_malay,75-79,5.4
1/1/2020,Perak,male,bumi_malay,80-84,3.2
1/1/2020,Perak,male,bumi_malay,85+,1.4
1/1/2020,Perak,female,bumi_malay,15-19,65.1
1/1/2020,Perak,female,bumi_malay,20-24,61.9
1/1/2020,Perak,female,bumi_malay,25-29,48.3
1/1/2020,Perak,female,bumi_malay,30-34,50.1
1/1/2020,Perak,female,bumi_malay,35-39,50.3
1/1/2020,Perak,female,bumi_malay,40-44,41.2
1/1/2020,Perak,female,bumi_malay,45-49,34.7
1/1/2020,Perak,female,bumi_malay,50-54,34
1/1/2020,Perak,female,bumi_malay,55-59,35.6
1/1/2020,Perak,female,bumi_malay,60-64,28.3
1/1/2020,Perak,female,bumi_malay,65-69,22.1
1/1/2020,Perak,female,bumi_malay,70-74,14.3
1/1/2020,Perak,female,bumi_malay,75-79,7.3
1/1/2020,Perak,female,bumi_malay,80-84,5
1/1/2020,Perak,female,bumi_malay,85+,2.8
1/1/2020,Perlis,male,bumi_malay,15-19,17.4
1/1/2020,Perlis,male,bumi_malay,20-24,13
1/1/2020,Perlis,male,bumi_malay,25-29,9.4
1/1/2020,Perlis,male,bumi_malay,30-34,8.7
1/1/2020,Perlis,male,bumi_malay,35-39,8.3
1/1/2020,Perlis,male,bumi_malay,40-44,10.7
1/1/2020,Perlis,male,bumi_malay,45-49,4.7
1/1/2020,Perlis,male,bumi_malay,50-54,5.1
1/1/2020,Perlis,male,bumi_malay,55-59,5.2
1/1/2020,Perlis,male,bumi_malay,60-64,4.2
1/1/2020,Perlis,male,bumi_malay,65-69,3.4
1/1/2020,Perlis,male,bumi_malay,70-74,2.4
1/1/2020,Perlis,male,bumi_malay,75-79,1.3
1/1/2020,Perlis,male,bumi_malay,80-84,0.8
1/1/2020,Perlis,male,bumi_malay,85+,0.4
1/1/2020,Perlis,female,bumi_malay,15-19,16
1/1/2020,Perlis,female,bumi_malay,20-24,13.6
1/1/2020,Perlis,female,bumi_malay,25-29,8.4
1/1/2020,Perlis,female,bumi_malay,30-34,8.2
1/1/2020,Perlis,female,bumi_malay,35-39,8.1
1/1/2020,Perlis,female,bumi_malay,40-44,11.2
1/1/2020,Perlis,female,bumi_malay,45-49,6.1
1/1/2020,Perlis,female,bumi_malay,50-54,5.4
1/1/2020,Perlis,female,bumi_malay,55-59,5.6
1/1/2020,Perlis,female,bumi_malay,60-64,4.6
1/1/2020,Perlis,female,bumi_malay,65-69,4.4
1/1/2020,Perlis,female,bumi_malay,70-74,2.7
1/1/2020,Perlis,female,bumi_malay,75-79,1.6
1/1/2020,Perlis,female,bumi_malay,80-84,1.1
1/1/2020,Perlis,female,bumi_malay,85+,0.8
